Material_ID;Category;Range;Nature;Sub_Brand;Franchise;Fonction;Status;Saisonnalite;Date_de_Fin_De_Vie_EUROPE;Date_de_Fin_De_Vie_ASIA;Date_de_Lancement_WW
Material_ID_1;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_1;CRAYON;;;;;
Material_ID_2;ACCESSORIES;Range_2;Nature_2;Sub_Brand_2;Franchise_2;SKINCARE ACCESSORIES;;;;;
Material_ID_3;SKINCARE;Range_3;Nature_3;Sub_Brand_3;Franchise_3;BATH;;;;;
Material_ID_4;SKINCARE;Range_3;Nature_3;Sub_Brand_3;Franchise_3;BATH;;;;;
Material_ID_5;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_4;MAKE UP BRUSH SINGLE;;;;;
Material_ID_6;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_4;MAKE UP BRUSH SINGLE;;;;;
Material_ID_7;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_5;CRAYON;;;;;
Material_ID_8;SKINCARE;Range_3;Nature_3;Sub_Brand_3;Franchise_3;BATH;;;;;
Material_ID_9;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_6;CRAYON;ACTIVE;PRIOR;01/02/2023;01/06/2023;
Material_ID_10;ACCESSORIES;Range_5;Nature_5;Sub_Brand_5;Franchise_7;POUCHES;;;;;
Material_ID_11;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_6;CRAYON;ACTIVE;PRIOR;01/02/2023;;
Material_ID_12;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_6;CRAYON;ACTIVE;PRIOR;01/02/2023;;
Material_ID_13;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_8;LIPSTICK;;;;;
Material_ID_14;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_6;CRAYON;ACTIVE;PRIOR;01/02/2023;;
Material_ID_15;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_6;CRAYON;ACTIVE;PRIOR;01/02/2023;;
Material_ID_16;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;PRIOR;01/02/2024;;
Material_ID_17;ACCESSORIES;Range_7;Nature_8;Sub_Brand_8;Franchise_10;MANICURE;;;;;
